Row,Identifier 1,Identifier 2,Comment,Preparation,Method,Time Code,Amount,Peak Nr,Start,Width,Ampl  28,Area 28,BGD 28,d 15N/14N,Ampl  44,Area 44,d 13C/12C,BGD 44,BGD 45,BGD 46,R 29N2/28N2,R 45CO2/44CO2,R 46CO2/44CO2
1,Blue Grama semi micro loop,H8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:22:49,2.113,1,76.5,52.5,2584,107.856,12.0,-1.154,,,,,,,0.0073479,,
1,Blue Grama semi micro loop,H8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:22:49,2.113,2,165.7,52.5,2581,107.867,12.2,-1.25,,,,,,,0.0073472,,
1,Blue Grama semi micro loop,H8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:22:49,2.113,3,255.2,52.5,2586,107.999,12.2,-1.32,,,,,,,0.0073467,,
1,Blue Grama semi micro loop,H8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:22:49,2.113,4,351.7,183.7,3032,155.496,12.3,1.424,,,,,,,0.0073669,,
1,Blue Grama semi micro loop,H8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:22:49,2.113,5,722.9,225.5,,,,,4628,340.108,-12.141,-0.3,-1.0,-0.6,,0.0118389,0.0039216
1,Blue Grama semi micro loop,H8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:22:49,2.113,6,1179.4,57.3,,,,,3825,156.482,-3.7,4.2,4.1,5.5,,0.0119328,0.003917
2,Blue Grama,H9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:31:25,2.875,1,76.5,52.5,2577,107.492,15.1,-1.162,,,,,,,0.0073479,,
2,Blue Grama,H9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:31:25,2.875,2,165.7,52.7,2570,107.326,14.9,-1.25,,,,,,,0.0073472,,
2,Blue Grama,H9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:31:25,2.875,3,255.2,52.5,2580,107.419,14.5,-1.281,,,,,,,0.007347,,
2,Blue Grama,H9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:31:25,2.875,4,350.3,185.8,4084,204.465,14.4,1.511,,,,,,,0.0073675,,
2,Blue Grama,H9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:31:25,2.875,5,719.8,235.3,,,,,5897,461.216,-12.19,0.1,-0.6,-0.1,,0.0118384,0.0039216
2,Blue Grama,H9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:31:25,2.875,6,1179.2,57.9,,,,,3804,156.511,-3.7,4.4,4.5,5.9,,0.0119328,0.003917
3,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:40:01,0,1,76.5,52.5,2571,107.187,16.3,-1.177,,,,,,,0.0073477,,
3,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:40:01,0,2,165.7,52.5,2574,107.376,16.0,-1.25,,,,,,,0.0073472,,
3,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:40:01,0,3,255.2,52.5,2573,107.463,15.5,-1.29,,,,,,,0.0073469,,
3,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:40:01,0,4,1178.8,57.9,,,,,3815,156.713,-3.7,-0.2,-1.0,-0.7,,0.0119328,0.003917
4,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:48:37,0,1,76.3,52.5,2571,107.277,13.8,-1.224,,,,,,,0.0073474,,
4,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:48:37,0,2,165.7,52.5,2568,107.035,13.8,-1.25,,,,,,,0.0073472,,
4,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:48:37,0,3,255,52.5,2569,107.228,13.7,-1.278,,,,,,,0.007347,,
4,blank,X,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:48:37,0,4,1178.8,57.3,,,,,3814,156.69,-3.7,-0.5,-1.4,-1.2,,0.0119328,0.003917
5,USGS91,D1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:57:13,3.102,1,76.5,52.3,2569,107.22,13.6,-1.164,,,,,,,0.0073478,,
5,USGS91,D1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:57:13,3.102,2,165.7,52.5,2569,107.325,13.7,-1.25,,,,,,,0.0073472,,
5,USGS91,D1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:57:13,3.102,3,255.2,52.5,2572,107.571,13.6,-1.259,,,,,,,0.0073471,,
5,USGS91,D1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:57:13,3.102,4,353.6,169.3,2077,103.064,13.8,1.63,,,,,,,0.0073684,,
5,USGS91,D1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:57:13,3.102,5,718.8,231.2,,,,,5927,456.282,-27.044,-0.4,-1.2,-0.8,,0.0116722,0.0039204
5,USGS91,D1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 15:57:13,3.102,6,1179.2,57.7,,,,,3802,156.686,-3.7,3.8,3.8,5.1,,0.0119328,0.003917
6,USGS90,D2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:05:49,3.333,1,76.3,52.5,2577,107.246,16.3,-1.215,,,,,,,0.0073475,,
6,USGS90,D2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:05:49,3.333,2,165.7,52.3,2574,107.508,16.1,-1.25,,,,,,,0.0073472,,
6,USGS90,D2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:05:49,3.333,3,255,52.5,2574,107.54,15.8,-1.289,,,,,,,0.0073469,,
6,USGS90,D2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:05:49,3.333,4,352.8,171,2297,112.963,15.6,8.379,,,,,,,0.007418,,
6,USGS90,D2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:05:49,3.333,5,717.3,234.9,,,,,6445,508.483,-12.51,0.1,-0.6,0.0,,0.0118346,0.0039193
6,USGS90,D2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:05:49,3.333,6,1179,57.7,,,,,3813,156.816,-3.7,4.5,4.5,6.1,,0.0119328,0.003917
7,USGS91,D3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:14:26,3.201,1,76.3,52.7,2572,107.411,17.0,-1.194,,,,,,,0.0073476,,
7,USGS91,D3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:14:26,3.201,2,165.7,52.5,2574,107.405,16.6,-1.25,,,,,,,0.0073472,,
7,USGS91,D3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:14:26,3.201,3,255.2,52.5,2574,107.603,16.3,-1.281,,,,,,,0.007347,,
7,USGS91,D3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:14:26,3.201,4,353.6,168.2,2242,110.005,16.1,1.476,,,,,,,0.0073673,,
7,USGS91,D3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:14:26,3.201,5,718.1,233.9,,,,,6165,478.412,-27.071,0.3,-0.3,0.3,,0.0116717,0.0039188
7,USGS91,D3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:14:26,3.201,6,1179.2,57.5,,,,,3797,156.435,-3.7,4.3,4.3,5.8,,0.0119328,0.003917
8,USGS90,D4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:23:01,3.051,1,76.3,52.5,2568,107.233,17.0,-1.237,,,,,,,0.0073473,,
8,USGS90,D4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:23:01,3.051,2,165.7,52.5,2571,107.278,16.7,-1.25,,,,,,,0.0073472,,
8,USGS90,D4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:23:01,3.051,3,255,52.7,2571,107.154,16.3,-1.317,,,,,,,0.0073467,,
8,USGS90,D4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:23:01,3.051,4,354.3,169.3,2132,105.023,16.2,8.337,,,,,,,0.0074177,,
8,USGS90,D4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:23:01,3.051,5,719.2,233,,,,,6023,465.871,-12.594,0.3,-0.3,0.4,,0.0118336,0.0039187
8,USGS90,D4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:23:01,3.051,6,1179,57.9,,,,,3817,157.155,-3.7,4.1,4.0,5.5,,0.0119328,0.003917
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,1,76.3,52.5,2579,107.574,17.1,-1.156,,,,,,,0.0073479,,
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,2,165.7,52.5,2583,107.677,16.8,-1.25,,,,,,,0.0073472,,
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,3,255,52.5,2579,107.616,16.5,-1.297,,,,,,,0.0073469,,
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,4,353,168.2,2239,110.03,16.4,1.281,,,,,,,0.0073658,,
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,5,717.3,234.3,,,,,6236,485.634,-27.089,0.3,-0.3,0.4,,0.0116714,0.0039178
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,6,1179,57.7,,,,,3810,156.74,-3.7,4.2,4.2,5.8,,0.0119328,0.003917
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,1,76.3,52.5,2578,107.548,17.2,-1.179,,,,,,,0.0073477,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,2,165.7,52.3,2576,107.37,16.9,-1.25,,,,,,,0.0073472,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,3,255,52.5,2576,107.428,16.6,-1.319,,,,,,,0.0073467,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,4,353.8,170.1,2186,107.965,16.4,8.37,,,,,,,0.007418,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,5,718.5,234.1,,,,,6219,483.996,-12.529,0.3,-0.3,0.5,,0.0118342,0.0039181
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,6,1179,57.7,,,,,3810,157.093,-3.7,4.1,4.2,5.6,,0.0119328,0.003917
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,1,76.3,52.5,2578,107.694,17.3,-1.18,,,,,,,0.0073477,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,2,165.5,52.7,2576,107.438,17.0,-1.25,,,,,,,0.0073472,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,3,255,52.5,2579,107.64,16.6,-1.252,,,,,,,0.0073472,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,4,353,171.8,2256,111.036,16.4,1.505,,,,,,,0.0073675,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,5,717.7,233.7,,,,,6213,482.308,-27.133,0.3,-0.3,0.5,,0.0116709,0.0039178
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,6,1179,57.7,,,,,3815,156.947,-3.7,4.1,4.1,5.8,,0.0119328,0.003917
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,1,76.3,52.5,2575,107.294,17.3,-1.15,,,,,,,0.0073479,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,2,165.7,52.5,2580,107.668,17.1,-1.25,,,,,,,0.0073472,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,3,255,52.5,2579,107.563,16.7,-1.279,,,,,,,0.007347,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,4,353.6,169.9,2123,104.78,16.5,8.236,,,,,,,0.007417,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,5,718.1,234.5,,,,,6204,482.161,-12.662,0.4,-0.3,0.5,,0.0118327,0.003918
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,6,1179,57.5,,,,,3814,156.815,-3.7,4.1,4.1,5.6,,0.0119328,0.003917
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,1,76.3,52.5,2573,107.48,17.3,-1.166,,,,,,,0.0073478,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,2,165.7,52.5,2576,107.424,17.1,-1.25,,,,,,,0.0073472,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,3,255,52.5,2578,107.514,16.7,-1.283,,,,,,,0.007347,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,4,350.9,165.9,1319,68.545,16.5,0.951,,,,,,,0.0073634,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,5,725.2,201.9,,,,,2433,162.714,-12.302,0.6,-0.0,0.9,,0.0118385,0.0039349
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,6,1179,57.3,,,,,3806,156.701,-3.7,1.2,0.6,1.4,,0.0119328,0.003917
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,1,76.3,52.5,2576,107.412,15.9,-1.225,,,,,,,0.0073474,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,2,165.7,52.5,2582,107.622,15.8,-1.25,,,,,,,0.0073472,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,3,255,52.7,2584,107.747,15.6,-1.276,,,,,,,0.007347,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,4,352.8,152.8,604,32.388,15.6,0.526,,,,,,,0.0073603,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,5,728.4,186.6,,,,,1190,77.425,-12.27,0.3,-0.4,0.3,,0.0118406,0.0039514
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,6,1179,57.1,,,,,3818,157.388,-3.7,0.3,-0.4,0.2,,0.0119328,0.003917
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,1,76.5,52.3,2572,107.09,15.2,-1.217,,,,,,,0.0073474,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,2,165.7,52.5,2579,107.468,15.2,-1.25,,,,,,,0.0073472,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,3,255,52.7,2579,107.59,15.1,-1.304,,,,,,,0.0073468,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,4,350.1,180.4,3257,163.196,15.1,1.303,,,,,,,0.007366,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,5,720.6,227,,,,,5143,383.772,-12.26,-0.1,-0.9,-0.2,,0.0118376,0.0039218
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,6,1179,57.9,,,,,3819,157.238,-3.7,3.0,2.8,4.1,,0.0119328,0.003917
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,1,76.3,52.7,2584,107.89,16.8,-1.229,,,,,,,0.0073474,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,2,165.7,52.5,2578,107.582,16.6,-1.25,,,,,,,0.0073472,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,3,255,52.7,2581,107.618,16.3,-1.284,,,,,,,0.007347,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,4,349.4,188.1,5057,248.66,16.2,1.451,,,,,,,0.0073671,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,5,716.7,242.2,,,,,6846,562.144,-12.188,0.1,-0.6,0.2,,0.0118379,0.0039165
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,6,1179.2,57.5,,,,,3812,157.028,-3.7,4.3,4.4,6.1,,0.0119328,0.003917
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,1,76.5,52.5,2573,107.517,17.8,-1.218,,,,,,,0.0073474,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,2,165.7,52.5,2576,107.685,17.5,-1.25,,,,,,,0.0073472,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,3,255.2,52.5,2584,108.002,17.1,-1.288,,,,,,,0.0073469,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,4,349.2,173.9,2057,105.159,16.9,1.213,,,,,,,0.0073653,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,5,722.9,212.6,,,,,3460,240.265,-12.191,0.6,-0.0,0.9,,0.0118391,0.0039283
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,6,1179,57.9,,,,,3817,157.304,-3.7,1.8,1.4,2.3,,0.0119328,0.003917
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,1,76.3,52.5,2586,107.779,16.4,-1.19,,,,,,,0.0073476,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,2,165.7,52.5,2579,107.704,16.3,-1.25,,,,,,,0.0073472,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,3,255,52.5,2583,107.628,16.1,-1.281,,,,,,,0.007347,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,4,349.4,178.1,2889,145.522,16.0,1.392,,,,,,,0.0073666,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,5,720,222,,,,,4617,336.517,-12.314,0.2,-0.4,0.2,,0.0118372,0.0039235
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,6,1179,57.5,,,,,3800,156.587,-3.7,2.4,2.0,3.2,,0.0119328,0.003917
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,1,76.5,52.3,2581,107.485,16.7,-1.221,,,,,,,0.0073474,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,2,165.7,52.5,2585,107.802,16.5,-1.25,,,,,,,0.0073472,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,3,255,52.5,2586,107.658,16.2,-1.28,,,,,,,0.007347,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,4,350.5,183.5,4370,215.114,16.2,1.513,,,,,,,0.0073675,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,5,718.3,235.8,,,,,6218,488.757,-12.221,0.2,-0.5,0.3,,0.0118377,0.0039182
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,6,1179,57.7,,,,,3815,157.096,-3.7,3.6,3.5,5.1,,0.0119328,0.003917
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,1,76.5,52.5,2581,107.497,17.4,-1.196,,,,,,,0.0073476,,
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,2,165.7,52.5,2578,107.698,17.2,-1.25,,,,,,,0.0073472,,
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,3,255.2,52.5,2576,107.34,16.9,-1.288,,,,,,,0.0073469,,
