Type,Identifier 1,Identifier 2,Comment,Preparation,Method,Time Code,Amount,Peak Nr,Start,Width,Ampl  28,Area 28,BGD 28,d 15N/14N
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,1,91.1,52.5,2557,106.571,14.6,-1.148
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,2,195.4,52.5,2569,107.205,14.6,-1.25
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,3,299.7,52.5,2563,107.159,14.6,-1.249
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,4,403.8,52.5,2566,107.093,14.6,-1.295
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,5,508.1,52.5,2566,106.904,14.6,-1.282
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,6,612.4,52.5,2570,107.289,14.5,-1.309
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,7,716.7,52.3,2568,107.03,14.5,-1.291
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,8,820.7,52.5,2572,107.211,14.5,-1.314
Stability,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:46:18,0,9,925,52.5,2569,107.228,14.4,-1.318
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,1,91.3,52.3,2571,106.943,14.1,-1.211
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,2,195.4,52.5,2574,107.554,14.1,-1.25
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,3,299.7,53.9,3832,159.405,14.1,-1.283
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,4,404.2,51,842,35.075,14.2,-1.225
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,5,508.3,52,2000,83.142,13.9,-1.259
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,6,612.6,51.8,1136,47.304,13.9,-1.182
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,7,717.1,50.2,339,14.077,13.7,-1.095
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,8,821,52.5,2575,107.536,13.7,-1.275
Linearity,N2 ref on off,H10,UNM-CSI-2022- IsoCamp 2022-Week 2 Wednesday day,LO/LBJ,N2 on off,2022/06/29 15:54:30,0,9,925.2,52,2002,83.506,13.7,-1.294