species,amplitude.nA,28.29,45.44,46.44
N,0.895714176,0.00745684,,
N,2.411017123,0.007456945,,
N,4.925181977,0.007456546,,
N,7.454887383,0.007456466,,
N,9.979002886,0.007456535,,
N,9.982192376,0.007456556,,
N,7.457193312,0.007457111,,
N,4.930266798,0.007457555,,
N,2.413033941,0.007457926,,
N,0.891894199,0.00745849,,
C,2.464109102,,0.01172336,0.004098131
C,4.926609896,,0.011722506,0.004097819
C,7.407919563,,0.011721374,0.004097451
C,9.903338191,,0.011721321,0.0040972
C,12.378628,,0.011720512,0.004096694
C,12.359258,,0.01172099,0.004096706
C,9.892529515,,0.011721867,0.00409725
C,7.411378731,,0.011722188,0.004097668
C,4.915496302,,0.011723415,0.004097942
C,2.460266687,,0.011724255,0.004098643